Name,Age,Height_cm,Weight_kg,Preferred_foot,Best_Position,Acceleration,Aggression,Agility,Balance,Ball_Control,Composure,Crossing,Curve,Defensive_Awareness,Dribbling,Finishing,Free_Kick_Accuracy,Heading_Accuracy,Interceptions,Jumping,Long_Passing,Long_Shots,Penalties,Positioning,Reactions,Short_Passing,Shot_Power,Sliding_Tackle,Sprint_Speed,Stamina,Standing_Tackle,Strength,Vision,Volleys,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,GK_Speed,Weak_Foot,Attacking_Work_Rate,Defensive_Work_Rate,Body_Type,Dribbling_Reflexes,Defending_Pace,Physical_Positioning,Pace_Diving,Passing_Kicking,Shooting_Handling
C. Zambrano,31,185,77,Right,CB,58,90,63,55,67,72,51,36,72,66,41,33,74,69,75,72,54,44,40,65,72,63,76,58,66,75,76,45,36,14,12,13,12,14,,3,Low,High,Normal (185+),66,73,76,58,59,48
J. Hernandez,32,171,78,Right,CDM,61,80,67,73,73,75,64,71,70,67,49,63,56,73,81,71,69,69,56,69,74,74,69,70,83,72,72,72,71,9,9,13,8,11,,3,Medium,High,Normal (170-185),70,70,77,66,70,60
L. Balogun,33,190,88,Right,CB,66,75,53,46,62,65,55,59,74,60,30,38,74,74,77,62,60,39,46,68,71,70,73,74,60,72,90,47,32,6,15,12,10,6,,3,Medium,Medium,Normal (185+),60,73,79,70,59,45
J. McCarthy,30,180,72,Right,CDM,61,80,68,65,74,74,68,64,75,72,55,64,63,76,65,75,64,60,63,70,76,67,72,52,57,76,62,71,61,12,11,8,10,13,,4,Medium,High,Normal (170-185),72,74,65,56,72,60
R. Boudebouz,31,177,74,Left,CAM,65,53,76,73,77,72,76,78,50,77,73,76,45,35,64,73,74,85,72,72,75,76,30,67,58,35,61,75,68,10,12,16,10,14,,4,High,Low,Normal (170-185),76,40,59,66,75,74
C. Villanueva,35,173,73,Left,CAM,59,40,80,81,76,72,65,75,61,78,64,80,52,42,35,75,73,73,68,72,79,79,36,57,62,44,46,77,80,16,11,15,15,7,,3,Medium,Low,Normal (170-185),77,49,48,58,75,70
A. Mehmedi,30,183,78,Right,CF,69,68,77,76,78,75,72,74,43,80,74,58,56,44,64,58,72,69,74,74,74,77,36,67,64,39,67,72,80,13,14,8,15,16,,3,Medium,High,Normal (170-185),78,43,66,68,70,74
C. Álvarez,35,186,83,Right,GK,44,25,66,53,22,58,14,12,12,13,11,14,12,24,60,31,15,14,17,64,20,53,15,50,38,14,64,31,15,74,72,70,76,76,46,3,Medium,Medium,Normal (185+),,,,,,
E. Room,32,188,81,Right,GK,46,27,47,46,27,60,20,13,17,12,16,12,11,14,70,46,12,37,9,74,44,51,13,44,34,17,65,61,18,76,69,68,71,76,45,3,Medium,Medium,Lean (185+),,,,,,
S. Aziz,30,183,86,Right,CB,71,80,65,56,56,74,43,36,76,52,26,36,78,68,83,64,31,38,24,72,65,42,74,69,74,76,83,44,42,13,9,8,14,10,,2,Low,High,Normal (170-185),57,74,80,70,53,32
Fidel,31,180,74,Left,LM,73,65,79,72,71,68,77,70,55,72,74,73,46,49,75,71,66,77,74,71,72,72,45,74,73,40,61,72,58,14,14,10,9,12,,2,High,Medium,Lean (170-185),72,47,66,74,73,71
B. Fornaroli,33,175,68,Right,ST,77,65,79,80,76,75,56,73,29,76,77,70,70,36,81,49,65,72,73,71,68,70,37,77,80,40,83,70,67,16,16,15,15,8,,5,High,Low,Normal (170-185),76,39,79,77,64,72
S. Kagawa,32,175,68,Right,CAM,64,29,78,76,80,79,65,74,52,78,68,68,48,57,60,73,58,69,75,72,78,54,47,56,56,53,35,73,69,11,9,8,9,13,,4,Medium,Low,Lean (170-185),78,52,40,60,73,64
D. Santon,30,187,77,Right,RWB,61,70,68,57,73,76,74,74,76,73,46,43,65,74,73,69,68,57,63,76,74,71,74,70,63,71,67,64,57,15,10,15,14,8,,3,Medium,Medium,Normal (185+),72,73,67,66,70,57
T. Cleverley,31,175,67,Right,CM,65,71,69,75,75,67,74,59,56,72,64,62,48,66,59,75,75,72,69,75,76,74,52,55,68,71,61,77,68,15,11,9,12,13,,3,High,Medium,Normal (170-185),73,61,65,60,74,69
V. Manceau,31,176,70,Right,RB,54,72,69,77,75,75,74,54,76,72,41,44,72,76,82,74,42,58,53,75,76,60,74,37,78,76,67,62,42,16,10,10,11,16,,3,Medium,High,Normal (170-185),73,75,72,45,70,47
Ruben Perez,32,178,72,Right,CM,52,82,59,63,72,71,52,55,71,62,58,57,56,80,73,76,73,64,72,73,79,81,72,46,73,78,72,76,26,11,8,13,9,15,,3,Medium,Medium,Normal (170-185),66,74,74,49,70,65
D. Le Tallec,31,187,77,Right,CDM,54,79,65,62,72,66,65,64,74,69,59,37,75,75,76,70,58,66,65,69,73,70,73,64,73,75,81,70,58,10,12,6,10,10,,4,Medium,High,Normal (185+),69,75,78,60,68,62
A. Hansen,31,189,87,Right,GK,35,32,57,43,24,64,13,10,27,21,12,19,13,23,58,41,13,17,16,68,39,53,14,37,36,15,77,66,12,76,68,70,75,78,36,2,Medium,Medium,Normal (185+),,,,,,
S. Frei,35,191,88,Right,GK,43,44,51,58,26,51,15,10,12,18,17,15,12,15,78,33,12,20,12,70,32,50,12,45,25,20,65,53,14,75,70,67,75,74,44,2,Medium,Medium,Normal (185+),,,,,,
I. Brizuela,30,171,66,Right,RM,87,66,90,76,72,70,69,69,40,78,67,52,50,43,69,66,69,59,64,64,71,72,42,89,82,50,56,63,59,12,9,16,15,16,,4,High,High,Lean (170-185),76,45,65,88,67,67
P. Pekarík,34,177,73,Right,RB,64,67,72,77,74,73,74,67,77,73,35,39,44,72,62,61,30,49,57,73,70,56,79,60,79,76,62,49,35,12,12,15,9,10,,3,Medium,Medium,Lean (170-185),73,73,67,62,64,40
Alberto Perea,30,177,74,Right,LM,76,59,81,72,80,72,65,76,39,79,74,78,59,28,74,69,77,48,74,69,72,69,26,76,62,34,59,68,64,13,9,8,6,6,,3,Medium,Medium,Lean (170-185),78,36,61,76,70,72
V. Berisha,28,176,81,Right,CM,79,81,82,71,78,78,63,72,66,77,66,66,42,57,80,72,75,69,73,74,74,76,54,65,85,58,71,76,68,6,14,15,15,13,,4,Medium,Medium,Normal (170-185),77,58,77,71,71,70
A. Bertolacci,30,179,72,Left,CM,62,77,74,77,77,75,71,70,75,74,65,64,64,73,61,75,74,56,74,73,75,75,70,63,65,74,61,72,69,7,8,7,7,9,,3,Medium,Medium,Normal (170-185),75,73,65,63,73,69
G. Schennikov,30,178,75,Left,LB,82,74,74,72,72,64,69,71,71,67,55,62,66,72,72,64,51,59,65,70,70,53,73,76,76,73,63,65,43,16,16,14,8,15,,2,High,Medium,Lean (170-185),69,72,69,79,68,54
F. Rinaudo,34,176,74,Right,CDM,72,82,71,74,72,77,62,54,73,72,58,53,64,74,80,73,77,52,62,69,75,75,73,65,72,75,74,67,60,15,12,15,15,9,,3,Low,High,Stocky (170-185),72,73,75,68,68,65
E. Stevens,30,183,78,Left,LWB,69,63,66,66,72,65,76,70,72,74,43,53,56,71,65,58,38,52,57,70,69,57,68,72,81,74,73,57,24,9,16,8,7,15,,2,Medium,Medium,Normal (170-185),72,70,73,71,66,45
M. Plattenhardt,29,181,78,Left,LB,68,66,67,73,74,67,82,85,73,71,43,85,58,68,71,66,59,61,63,72,74,79,74,71,71,75,73,64,54,15,6,15,13,16,,2,Medium,Medium,Normal (170-185),71,71,71,70,74,56
C. Tosun,30,183,78,Right,ST,67,75,71,66,73,75,64,72,33,72,75,73,77,31,80,60,72,85,76,75,69,79,15,65,68,34,74,61,72,12,14,12,12,9,,4,High,Low,Normal (170-185),72,36,73,66,65,76
B. Nuytinck,31,190,82,Left,CB,32,76,34,38,60,73,34,51,79,54,32,34,73,78,60,61,36,46,34,70,67,62,73,33,55,78,75,51,40,7,6,10,12,9,,2,Low,Medium,Normal (185+),55,77,69,33,54,40
H. Lindner,30,188,82,Right,GK,41,30,45,41,20,64,11,17,12,11,12,17,13,12,63,15,16,19,12,69,24,50,19,43,32,9,52,55,13,78,71,67,73,75,42,3,Medium,Medium,Normal (185+),,,,,,
M. Destro,30,182,80,Right,ST,68,60,69,75,74,70,56,68,28,72,78,51,78,20,82,42,68,69,77,65,70,77,20,70,45,22,65,58,77,6,14,15,9,11,,3,Medium,Low,Normal (170-185),72,29,60,69,60,75
N. Viergever,31,183,77,Left,CB,61,75,64,66,69,70,62,52,76,65,56,39,70,75,77,68,48,48,55,73,72,62,76,66,77,73,74,62,41,8,9,11,7,11,,2,Medium,High,Normal (170-185),67,74,75,64,65,54
A. Souquet,29,179,74,Right,RB,69,70,69,64,74,72,73,62,70,71,56,46,66,70,72,69,55,49,68,71,73,73,73,71,76,73,66,69,53,15,10,8,13,11,,3,Medium,Medium,Lean (170-185),71,71,70,70,70,59
G. Medel,33,171,76,Right,CDM,61,88,73,92,67,78,50,35,74,63,31,45,68,76,79,66,59,58,58,78,73,65,74,62,70,76,79,65,58,14,7,9,6,6,,4,Medium,High,Stocky (170-185),68,74,79,62,62,47
Y. Belhanda,31,179,75,Right,CM,73,75,74,78,80,72,77,78,55,79,70,75,67,60,79,76,69,80,71,69,77,73,58,72,74,59,63,79,69,15,16,11,6,16,,4,Medium,Medium,Normal (170-185),78,59,69,72,77,71
Osmar,33,192,86,Left,CDM,35,70,33,41,65,59,56,65,64,58,48,60,76,72,68,76,75,68,59,60,74,74,74,41,91,75,93,71,44,14,11,7,16,9,,3,Medium,High,Normal (185+),57,71,87,38,69,60
C. Hourihane,30,180,62,Left,CM,60,75,77,76,74,68,74,74,60,65,68,78,57,70,74,74,77,64,68,75,77,71,64,54,87,72,67,76,60,9,16,11,6,9,,3,High,Medium,Lean (170-185),70,66,74,57,76,70
I. Belfodil,29,192,86,Right,ST,64,81,66,53,76,71,65,72,30,77,75,68,75,29,72,62,67,67,74,71,72,80,15,65,63,39,77,69,70,6,12,7,13,14,,2,High,Medium,Lean (185+),74,36,74,65,68,74
Adrian,34,190,80,Right,GK,46,38,53,48,23,59,12,12,18,15,16,17,15,25,69,32,20,44,12,71,21,51,14,44,38,19,63,32,12,77,70,68,72,77,45,2,Medium,Medium,Normal (185+),,,,,,
P. Jones,29,185,71,Right,CB,50,86,52,48,54,62,58,38,73,57,44,35,77,75,79,66,49,50,42,69,69,68,76,51,31,76,76,54,49,10,8,6,16,11,,3,Low,High,Stocky (185+),56,75,67,51,60,50
M. Ninkovic,36,180,76,Right,CAM,63,59,83,67,78,71,69,69,29,76,68,64,52,58,72,69,73,70,69,68,76,69,50,69,71,54,72,78,66,11,11,8,6,13,,3,Medium,Low,Normal (170-185),76,47,69,66,73,69
Javi López,35,179,78,Right,RB,63,84,66,70,69,81,73,67,60,68,55,52,65,73,76,64,43,56,61,75,76,57,79,64,72,75,71,65,49,10,8,7,12,16,,3,Medium,Medium,Normal (170-185),69,70,74,64,70,53
Iñigo Perez,33,178,74,Left,CDM,59,70,68,64,76,64,76,80,69,59,61,79,62,71,76,77,71,49,57,67,76,73,73,53,78,75,70,76,59,9,8,7,16,6,,3,Medium,Medium,Lean (170-185),66,71,72,56,77,65
K. Ansarifard,31,187,80,Right,ST,73,66,72,69,69,75,59,68,30,72,77,56,70,54,74,57,77,75,75,73,68,78,39,75,73,42,74,58,72,8,14,9,15,12,,4,High,Medium,Normal (185+),71,43,72,74,62,77
P. Kasami,29,188,87,Left,CAM,67,75,63,55,76,70,66,56,40,73,74,62,64,67,71,72,76,63,73,74,75,85,56,72,78,65,81,76,78,8,12,9,8,6,,4,High,Medium,Stocky (185+),72,57,79,70,71,76
Ximo Navarro,31,176,75,Right,RB,71,79,71,69,71,68,70,61,70,65,36,42,69,72,81,64,55,48,62,70,71,64,71,75,87,70,69,59,32,12,7,13,10,13,,3,Medium,Medium,Normal (170-185),68,70,76,73,65,47
P. Herrmann,30,179,71,Right,RM,75,58,76,74,75,69,76,74,28,75,71,67,54,29,66,66,75,62,72,73,75,75,54,66,67,26,56,72,70,14,13,8,8,7,,3,Medium,High,Lean (170-185),75,33,60,70,73,72
M. Vydra,29,180,71,Right,CF,82,53,79,77,76,71,65,73,40,74,72,64,63,31,76,63,71,78,78,72,71,77,34,78,75,28,67,70,74,10,11,12,13,15,,4,Medium,Medium,Normal (170-185),75,36,67,80,68,74
S. Bell,29,192,88,Right,CB,33,70,34,34,50,73,43,33,77,49,31,40,79,77,74,60,30,41,32,72,61,64,71,45,50,76,85,45,32,7,16,8,13,14,,2,Low,Medium,Normal (185+),49,76,73,40,52,38
Claudio Ramos,29,183,78,Right,GK,55,27,65,65,20,44,10,15,21,16,14,13,21,21,76,23,16,13,10,73,25,48,13,54,44,17,77,55,10,78,72,64,71,75,55,3,Medium,Medium,Normal (170-185),,,,,,
K. Malcuit,29,178,77,Right,RB,75,77,76,74,74,69,75,62,72,75,63,47,65,73,69,72,56,55,66,70,73,66,72,75,70,72,69,68,56,12,13,12,9,11,,3,High,Medium,Normal (170-185),74,72,71,75,70,62
G. Tzavellas,33,183,77,Left,CB,68,85,55,70,69,66,74,81,77,57,53,65,69,70,81,70,73,64,43,68,67,79,71,67,70,73,83,49,63,12,14,6,14,9,,3,Medium,Medium,Normal (170-185),62,73,80,67,66,63
M. Riemann,32,186,83,Right,GK,57,38,49,64,47,67,17,15,30,30,12,14,15,30,70,65,18,34,13,71,59,54,19,45,43,14,65,69,13,73,71,72,72,76,52,5,Medium,Medium,Normal (185+),,,,,,
B. Linssen,30,170,64,Right,ST,80,78,75,82,73,73,70,74,37,71,75,64,82,41,88,63,74,54,76,74,67,76,41,75,83,43,58,65,75,7,16,6,11,11,,2,High,High,Normal (170-),73,45,70,77,67,74
R. Funes Mori,30,186,79,Left,CB,55,80,64,56,70,64,66,49,74,63,40,58,75,76,74,62,56,52,49,65,70,70,75,58,67,76,75,59,25,9,9,13,10,7,,3,Medium,Medium,Normal (185+),65,75,74,57,64,50
H. Mier,31,182,74,Right,CB,50,65,66,61,55,62,49,41,75,56,37,35,80,71,80,65,47,49,45,70,67,53,75,67,67,77,80,56,34,12,12,7,15,13,,2,Low,High,Normal (170-185),58,75,74,59,58,43
L. Unnerstall,30,198,103,Right,GK,28,36,19,20,19,58,10,13,11,16,13,11,10,21,40,24,12,16,13,69,26,53,15,37,35,17,82,42,15,74,74,70,74,75,32,1,Medium,Medium,Stocky (185+),,,,,,
P. Pervan,33,194,92,Right,GK,32,28,36,33,15,30,19,15,16,14,9,14,15,15,44,31,15,14,5,70,22,52,19,27,23,21,54,34,8,72,74,69,72,75,30,4,Medium,Medium,Normal (185+),,,,,,
Guilherme,30,174,70,Left,RM,90,73,91,84,73,71,65,59,38,75,65,70,50,61,83,67,68,57,68,70,73,71,55,92,75,56,59,70,64,15,12,14,6,15,,3,High,Low,Stocky (170-185),76,51,67,91,69,67
Camilo Sanvezzo,32,170,70,Right,ST,76,55,81,74,76,72,69,73,21,80,77,80,68,29,85,60,78,73,69,69,70,79,33,78,69,38,69,66,77,14,6,12,6,10,,4,High,Low,Normal (170-),78,34,67,77,68,77
J. Hendrick,29,185,79,Right,CM,65,75,66,71,75,74,72,72,73,76,66,64,64,70,74,75,68,60,74,75,76,74,67,63,74,69,73,74,68,12,6,9,9,14,,3,Medium,Medium,Normal (185+),74,70,74,64,74,68
Y. Konoplyanka,31,178,80,Right,LM,78,52,76,78,79,73,70,82,25,78,70,74,51,37,62,63,75,75,72,74,72,75,27,73,66,30,71,60,67,5,11,15,9,9,,3,High,Low,Normal (170-185),78,32,66,75,68,72
M. Quiroga,31,188,80,Left,ST,69,70,63,59,75,73,23,59,32,64,72,51,84,26,81,58,63,68,78,74,66,73,17,65,71,15,91,45,70,10,15,13,9,7,,2,High,Low,Lean (185+),68,29,81,67,51,70
E. Gigliotti,34,187,81,Right,ST,53,71,61,53,75,70,51,57,44,65,77,49,78,35,80,46,70,63,79,79,66,82,24,46,74,35,87,68,75,11,9,14,13,6,,3,High,Medium,Normal (185+),68,41,80,49,59,76
F. Rønnow,28,190,80,Right,GK,48,17,34,40,12,31,14,16,15,13,9,7,12,12,63,30,13,17,14,74,25,50,13,45,32,11,67,48,7,76,70,67,72,77,47,2,Medium,Medium,Lean (185+),,,,,,
T. Šunjic,32,194,93,Right,CB,46,74,34,31,33,62,35,30,74,30,24,33,77,76,72,64,28,50,23,64,72,64,71,63,69,74,92,30,28,16,7,9,14,13,,3,Low,High,Normal (185+),35,74,82,55,51,34
J. Sanchez Miño,31,177,74,Left,LB,71,73,73,69,76,71,80,74,69,69,65,71,64,70,64,75,78,68,69,72,76,78,68,72,76,72,69,71,55,12,13,11,14,9,,2,Medium,Medium,Normal (170-185),72,70,71,72,75,70
J. Kurtic,32,186,88,Right,CM,61,77,62,62,75,75,67,74,69,71,68,75,71,75,64,75,76,68,74,74,77,81,74,59,70,75,78,72,69,14,13,10,11,6,,3,High,Medium,Normal (185+),71,73,75,60,73,73
D. Nagbe,30,175,77,Right,CDM,77,59,86,79,82,83,50,72,68,80,61,68,58,68,75,71,70,61,61,79,83,74,63,78,82,68,73,72,70,6,8,12,7,13,,4,High,High,Normal (170-185),81,67,73,78,71,66
J. Stephens,27,185,75,Right,CB,52,68,63,57,70,64,47,55,76,67,36,58,75,75,67,67,42,42,47,71,70,55,72,54,68,78,78,56,34,13,10,11,13,10,,2,Medium,Medium,Normal (185+),67,76,73,53,61,42
B. Decordova-Reid,28,170,68,Right,RM,80,46,88,86,73,70,68,62,57,75,73,62,63,58,77,64,71,70,75,75,72,68,54,78,79,56,60,70,74,8,12,13,8,10,,3,High,High,Lean (170-),76,57,63,79,69,72
J. Bryan,27,173,75,Left,LB,79,69,79,86,68,64,75,70,65,66,61,62,67,73,90,67,67,61,66,67,68,72,71,77,83,71,72,66,45,13,14,14,9,14,,4,High,High,Normal (170-185),69,69,75,78,69,64
I. Balliu,29,174,65,Right,RB,82,75,79,76,73,73,74,63,72,73,23,58,59,71,72,68,59,69,66,69,69,45,67,85,86,67,64,64,24,12,9,9,9,13,,3,High,Medium,Normal (170-185),74,69,72,84,68,39
D. Pavelka,30,185,75,Right,CDM,70,80,71,64,75,74,63,58,66,73,52,65,67,72,66,73,64,68,63,75,75,73,68,68,78,72,73,67,59,10,8,11,16,11,,4,High,Medium,Lean (185+),73,69,75,69,69,60
B. Zuculini,28,182,77,Right,CDM,65,87,69,63,73,72,61,55,68,69,60,48,66,71,74,71,64,71,69,69,76,76,70,67,79,72,79,64,61,12,9,12,9,13,,3,High,High,Lean (170-185),70,70,80,66,67,65
G. Hauche,34,168,71,Right,LW,84,75,83,78,75,71,68,69,53,73,72,73,58,21,74,64,68,77,74,76,71,73,33,82,71,46,62,72,62,11,11,11,11,11,,3,High,Medium,Normal (170-),75,43,67,83,70,71
X. Mercier,31,174,71,Right,CAM,70,53,74,78,73,76,80,79,56,72,68,84,38,53,68,78,73,71,78,68,76,75,35,66,77,56,61,83,68,11,9,12,11,14,,3,Medium,Medium,Normal (170-185),73,52,64,68,79,71
P. Dummett,29,183,82,Left,CB,65,72,61,74,70,65,63,54,77,65,41,52,72,76,75,68,35,43,56,75,71,42,80,64,67,76,70,52,33,15,11,13,11,13,,2,Medium,Medium,Normal (170-185),67,76,70,64,63,40
O. Selnæs,26,187,77,Left,CM,67,68,82,71,76,73,69,73,69,72,64,76,74,76,79,76,75,64,66,75,75,72,64,68,83,65,80,76,66,12,13,8,12,10,,3,High,Medium,Lean (185+),74,69,78,68,74,68
R. Ibarra,30,175,76,Right,RM,85,71,80,72,75,63,72,63,57,76,60,61,47,56,71,62,70,54,65,65,72,70,46,88,82,52,70,65,60,6,9,14,13,8,,3,High,High,Normal (170-185),75,53,73,87,68,64
Toño García,31,179,69,Left,LB,78,59,79,77,76,79,78,82,66,76,62,59,52,70,62,68,61,62,75,71,75,71,71,78,75,70,66,69,56,18,16,20,21,12,,3,High,Medium,Normal (170-185),76,67,67,78,73,64
T. Nguen,27,174,60,Right,CAM,92,56,91,85,73,72,59,47,44,82,73,44,46,45,70,64,73,51,67,75,70,62,37,85,71,47,54,66,55,9,7,8,8,9,,3,High,Medium,Lean (170-185),80,45,59,88,64,69
K. Rekik,26,186,84,Left,CB,61,83,65,61,65,71,40,35,70,57,33,35,75,71,77,68,31,41,41,72,70,60,78,71,68,75,78,59,35,9,9,14,14,9,,2,Low,High,Normal (185+),62,73,76,67,58,39
K. Roofe,28,178,65,Right,CF,77,60,82,76,73,70,67,70,43,72,76,63,75,50,80,59,70,75,76,72,70,78,53,80,68,49,60,69,65,14,14,12,11,13,,4,High,Medium,Lean (170-185),73,50,63,79,67,75
M. Nastasic,28,188,83,Left,CB,62,77,64,60,63,80,46,72,74,43,30,68,70,75,81,68,22,52,30,78,68,44,76,67,63,74,79,55,32,11,16,11,15,13,,2,Low,High,Normal (185+),56,74,75,65,61,32
F. Novak,31,184,78,Left,LB,74,69,76,66,73,74,73,72,70,70,64,61,75,72,73,67,66,42,74,74,69,69,69,73,77,72,71,64,60,11,8,14,10,7,,3,High,Medium,Normal (170-185),72,71,72,73,68,65
Djaniny,30,190,78,Right,ST,77,50,77,67,78,76,68,64,28,77,73,53,71,47,74,64,63,67,74,71,68,76,21,82,85,25,82,72,66,11,8,16,10,8,,4,Medium,Low,Normal (185+),76,35,76,80,67,71
A. Lozano,28,185,74,Right,ST,78,65,71,61,69,71,56,57,33,69,74,28,74,18,78,58,75,68,75,71,68,76,35,78,67,40,83,75,64,6,6,11,13,8,,3,Medium,Low,Normal (185+),69,36,75,78,63,74
L. Castro,32,182,76,Right,CM,69,65,74,77,79,75,76,76,55,77,61,68,68,71,62,74,72,68,74,73,78,77,70,63,64,69,67,76,67,6,7,9,15,5,,4,High,Medium,Normal (170-185),77,65,66,66,76,68
N. Chalobah,26,185,80,Right,CDM,60,76,66,65,76,68,58,51,69,73,55,38,71,72,69,75,67,49,60,70,76,75,73,62,63,75,73,72,53,12,9,15,8,8,,3,Medium,Medium,Lean (185+),72,72,71,61,68,61
J. Wallace,27,178,70,Right,RW,78,58,80,74,75,65,74,68,45,76,72,73,49,40,68,64,72,70,73,74,70,68,43,76,86,49,61,75,55,12,14,14,11,6,,4,High,Medium,Normal (170-185),75,45,67,77,71,70
H. Reed,26,175,72,Right,CDM,73,80,77,82,70,70,74,63,75,67,53,61,51,76,63,72,63,49,65,71,75,65,71,68,76,74,64,72,40,7,12,14,10,11,,3,Medium,High,Normal (170-185),70,72,70,70,72,57
Patric,28,184,72,Right,CB,69,75,67,68,74,72,69,46,75,68,49,48,74,75,70,65,57,51,55,74,74,63,76,70,64,76,68,62,25,8,14,12,9,14,,3,Medium,High,Lean (170-185),70,75,69,70,67,53
S. Dursun,29,190,80,Right,ST,61,72,66,60,76,72,48,57,31,74,77,62,74,17,59,44,59,74,83,75,70,73,19,65,69,31,78,52,73,8,6,10,13,14,,4,High,Medium,Normal (185+),73,31,74,63,57,73
D. Heintz,27,190,89,Left,CB,52,77,43,48,63,68,47,55,72,58,23,32,73,73,63,65,56,41,45,74,69,49,76,64,68,76,87,61,26,14,15,7,9,15,,3,Medium,Medium,Stocky (185+),59,74,79,59,60,37
M. Stevanovic,30,180,72,Right,RW,82,60,82,72,74,64,77,75,22,72,68,66,68,41,83,69,67,61,74,69,74,66,31,83,86,45,64,75,61,15,10,11,13,10,,4,High,Medium,Lean (170-185),73,38,70,83,74,67
S. Kryvtsov,30,186,83,Right,CB,64,75,57,70,53,69,37,28,72,42,38,29,77,73,72,61,42,37,55,72,69,65,74,66,77,77,80,36,24,14,7,14,15,16,,3,Low,Medium,Normal (185+),51,74,78,65,51,44
P. Rodríguez,31,170,60,Right,LM,87,26,85,82,67,63,70,72,16,85,75,72,40,42,72,65,60,76,66,67,66,65,29,87,65,31,34,70,70,14,7,12,8,11,,3,High,Low,Normal (170-),77,29,42,87,68,69
F. Helander,28,192,84,Left,CB,40,78,52,50,58,63,30,39,76,52,28,40,77,73,62,48,25,34,24,69,58,58,74,47,63,76,85,45,21,15,8,10,7,16,,1,Medium,High,Normal (185+),55,75,77,44,46,33
S. Andersson,29,190,86,Right,ST,53,72,63,55,73,70,32,39,21,69,77,42,81,25,72,39,66,65,78,75,71,74,24,55,70,30,81,62,73,10,9,14,15,6,,2,High,Medium,Normal (185+),69,31,76,54,54,73
K. Omeruo,27,184,84,Right,CB,64,79,63,55,61,70,47,24,69,53,22,23,74,72,90,60,31,35,34,73,63,54,75,71,72,77,80,34,27,9,8,16,7,15,,3,Low,Medium,Normal (170-185),58,73,78,68,50,32
T. Strobl,31,188,87,Right,CDM,34,77,39,44,62,73,51,44,78,57,30,45,69,76,74,74,62,47,55,74,72,79,71,51,78,72,78,68,35,11,8,8,16,12,,3,Medium,Medium,Normal (185+),58,74,78,43,65,49
E. Durm,29,183,72,Right,RWB,76,70,69,67,71,69,71,63,71,68,53,35,60,70,74,60,53,55,68,72,72,65,71,72,76,72,65,62,43,12,14,8,15,11,,3,Medium,Medium,Lean (170-185),69,70,69,74,66,56
D. Ward,28,191,88,Right,GK,46,32,38,53,23,56,13,15,8,19,11,14,13,20,67,42,16,20,7,70,30,50,18,44,22,20,60,38,13,75,72,66,73,75,45,3,Medium,Medium,Normal (185+),,,,,,
Lucas Torró,26,190,77,Right,CDM,49,66,64,32,74,69,49,58,71,62,59,52,75,76,41,72,70,57,56,73,77,73,68,30,79,74,76,62,46,13,14,7,12,16,,3,Medium,Medium,Lean (185+),65,73,73,39,65,63
R. Quaison,27,183,77,Right,ST,76,56,75,75,78,76,67,72,39,79,75,56,54,49,56,66,73,67,80,79,70,76,55,66,78,39,72,65,76,9,8,13,9,13,,3,High,Medium,Normal (170-185),78,44,70,71,67,75
A. Duncan,28,178,78,Left,CM,72,86,71,71,75,76,68,64,70,73,50,50,68,74,78,74,78,44,68,75,78,83,76,70,78,78,69,67,58,9,8,8,6,8,,3,Medium,High,Normal (170-185),74,74,75,71,71,63
Omar Mascarell,28,181,76,Right,CDM,63,66,75,72,75,69,50,61,72,71,53,65,56,74,74,78,66,63,61,75,74,72,67,55,77,72,71,67,54,6,7,9,10,11,,5,Low,Medium,Lean (170-185),73,70,72,59,67,60
Ruben Sobrino,29,185,73,Right,ST,79,68,72,62,77,65,58,71,40,71,76,57,70,32,66,50,77,66,74,69,69,78,21,78,60,31,69,62,74,13,8,11,7,15,,4,High,Medium,Lean (185+),72,37,66,78,62,76
D. Gonzalez,27,175,75,Right,LM,85,51,86,81,72,70,67,69,54,74,70,45,55,34,73,69,66,73,74,70,74,70,33,82,77,51,58,69,60,15,15,15,14,13,,3,High,Medium,Lean (170-185),75,47,62,83,69,69
B. Rahman,26,180,72,Left,LB,75,74,74,72,74,69,74,70,68,73,52,23,67,72,74,67,48,42,63,73,70,61,71,78,68,71,73,59,41,12,11,6,11,10,,3,High,Medium,Lean (170-185),73,70,72,77,66,53
Andre Ramalho,29,182,78,Right,CB,55,69,69,67,68,70,46,58,73,62,51,68,80,76,92,76,72,42,61,74,73,76,70,43,78,75,78,67,42,7,12,14,13,15,,5,Medium,Medium,Normal (170-185),66,75,77,48,66,60
A. Rusnak,26,175,73,Right,CAM,71,59,84,74,77,74,75,73,51,73,70,72,39,38,55,73,77,69,73,72,76,79,38,70,74,49,62,73,75,10,7,16,13,7,,4,High,Medium,Normal (170-185),75,45,64,70,74,74
M. Prietl,29,187,79,Right,CDM,61,77,63,63,70,72,46,47,75,62,49,42,58,72,53,65,56,44,55,70,74,53,71,55,93,73,76,64,35,12,12,10,8,13,,3,Medium,High,Lean (185+),65,72,79,58,62,51
Julio Tavares,32,188,82,Right,ST,62,87,66,40,72,71,39,55,28,69,77,41,82,23,86,47,69,75,77,74,69,75,20,55,82,23,85,63,69,9,15,15,14,6,,3,High,Medium,Normal (185+),69,30,85,58,56,75
